name,source,gender,wikidata,type
"Aletta Jacobsrotonde",wikidata,F,Q463478,way
"Aletta Jacobsweg",wikidata,F,Q463478,way
"Caro van Eyckrotonde",wikidata,F,Q2690875,way
"Caro van Eyckweg",wikidata,F,Q2690875,way
"Carry van Bruggenweg",wikidata,F,Q447097,way
"Content Hofstede",wikidata,F,Q106675757,way
Curiestraat,wikidata,F,Q7186,way
Emmastraat,wikidata,F,Q57664,way
"Hannie Schaftweg",wikidata,F,Q448486,way
"Henriëtte Roland Holstlaan",wikidata,F,Q441439,way
"Henriëtte Ronnerstraat",wikidata,F,Q454470,way
"Hildegard van Bingenrotonde",wikidata,F,Q70991,way
"Hildegard van Bingenweg",wikidata,F,Q70991,way
Julianastraat,wikidata,F,Q154946,way
"Maria Montessorirotonde",wikidata,F,Q131117,way
"Maria Montessoriweg",wikidata,F,Q131117,way
"Mien Ruyspad",wikidata,F,Q447182,way
"Mien Ruysweg",wikidata,F,Q447182,way
"Prinses Beatrixhof",wikidata,F,Q29574,way
"Prinses Beatrixstraat",wikidata,F,Q29574,way
"Prinses Irenestraat",wikidata,F,Q263623,way
"Prinses Margrietstraat",wikidata,F,Q268821,way
"Rosa Spierweg",wikidata,F,Q2913260,way
"Rotonde Moeder Teresa",wikidata,F,Q30547,way
"Selma Lagerlöflaan",wikidata,F,Q44519,way
Wilhelminastraat,wikidata,F,Q150747,way
"A.H.G. Fokkerstraat",wikidata,M,Q76703,way
"Aart van der Leeuwlaan",wikidata,M,Q524770,way
"Abel Tasmanplein",wikidata,M,Q42188,way
"Adama van Scheltemalaan",wikidata,M,Q2784229,way
"Alexander Dubcekweg",wikidata,M,Q150543,way
"Andrej Sacharovweg",wikidata,M,Q997,way
"Anne de Vriesstraat",wikidata,M,Q286841,way
"Anton van Duinkerkenlaan",wikidata,M,Q447108,way
"Arthur van Schendellaan",wikidata,M,Q202355,way
Bachstraat,wikidata,M,Q1339,way
Beethovenplaats,wikidata,M,Q255,way
"Benthem Reddingiusstraat",wikidata,M,Q2352096,way
"Bertus van Hamersveld rotonde",wikidata,M,Q17428268,way
Bilderdijkplantsoen,wikidata,M,Q1375186,way
Blijdensteinstraat,wikidata,M,Q80150147,way
Boutenslaan,wikidata,M,Q1816061,way
Brahmsstraat,wikidata,M,Q7294,way
