name,source,gender,wikidata,type
Adelaarsweg,wikidata,,Q2092297,way
Afrikaweg,wikidata,,Q15,way
Afzeliahout,wikidata,,Q27684975,way
Ahornhout,wikidata,,Q402516,way
Amerikaweg,wikidata,,Q828,way
Amstelstraat,wikidata,,Q185405,way
Anemoonstraat,wikidata,,Q158286,way
Anreperstraat,wikidata,,Q2272875,way
Aquarius,wikidata,,Q10576,way
Asserstraat,wikidata,,Q798,way
Athenestraat,wikidata,,Q1524,way
Australiëweg,wikidata,,Q3960,way
Aziëweg,wikidata,,Q48,way
Batingestraat,wikidata,,Q2323166,way
Begoniastraat,wikidata,,Q158617,way
Beilerstraat,wikidata,,Q2034045,way
Berberishage,wikidata,,Q158503,way
Betuwe,wikidata,,Q850526,way
Biezenveld,wikidata,,Q2431024,way
Blauwbandkade,wikidata,,Q583540,way
Boekweitveld,wikidata,,Q4536337,way
Bosanemoon,wikidata,,Q161056,way
Bosbes,wikidata,,Q5079636,way
Bosbraam,wikidata,,Q4421;Q602740,way
Bosgras,wikidata,,Q4421;Q643352,way
Boslelie,wikidata,,Q101711,way
Bosmos,wikidata,,Q4421;Q25347,way
Bosrand,wikidata,,Q2845897,way
Bosrank,wikidata,,Q160100,way
Bosroos,wikidata,,Q160185,way
Bosvaren,wikidata,,Q4421;Q80005,way
Bosviool,wikidata,,Q74174,way
Boszegge,wikidata,,Q158168,way
Brasemstraat,wikidata,,Q144534,way
Bremstraat,wikidata,,Q145781,way
Brunelstraat,wikidata,,Q148652,way
Buizerdstraat,wikidata,,Q25385,way
Buxushage,wikidata,,Q158703,way
Cederlaan,wikidata,,Q128550,way
Dahliastraat,wikidata,,Q130918,way
"De Klenckestraat",wikidata,,Q2615740,way
"De Vallei",wikidata,,Q2924361,way
"De Wouden",wikidata,,Q2130210,way
Delfland,wikidata,,Q3046110,way
Diezestraat,wikidata,,Q1224319,way
Dingspelstraat,wikidata,,Q2035356,way
Dommelstraat,wikidata,,Q1238549,way
Donaustraat,wikidata,,Q1653,way
Donstraat,wikidata,,Q1229,way
Dotterbloemstraat,wikidata,,Q147192,way
Duitslandlaan,wikidata,,Q183,way
Ebbenhout,wikidata,,Q156005,way
Eemland,wikidata,,Q2128439,way
Eiberstraat,wikidata,,Q25352,way
Elbestraat,wikidata,,Q1644,way
Engelandlaan,wikidata,,Q21,way
Entingestraat,wikidata,,Q1935189,way
Ereprijsstraat,wikidata,,Q7216874,way
Esdoornhout,wikidata,,Q402516,way
Etstoelstraat,wikidata,,Q2175460,way
Europaweg-Noord,wikidata,,Q46,way
Europaweg-Oost,wikidata,,Q46,way
Europaweg-West,wikidata,,Q46,way
Eysinkweg,wikidata,,Q1385903,way
Fivelingostraat,wikidata,,Q1421904,way
Flamingolaan,wikidata,,Q3901583,way
Frankrijklaan,wikidata,,Q142,way
Frankrijkrotonde,wikidata,,Q142,way
Gaasterland,wikidata,,Q2459155,way
Geminisingel,wikidata,,Q8923,way
Gentiaanstraat,wikidata,,Q144682,way
Geraniumstraat,wikidata,,Q157211,way
Geulstraat,wikidata,,Q1520184,way
Gooiland,wikidata,,Q426421,way
Graafschap,wikidata,,Q1541869,way
Griekenlandlaan,wikidata,,Q41,way
Gymnasiumstraat,wikidata,,Q2066691,way
Haarweg,wikidata,,Q2451504,way
Havenkade,wikidata,,Q97011717,way
Havikstraat,wikidata,,Q25353,way
Heideveld,wikidata,,Q27590,way
Helmkruidstraat,wikidata,,Q53470,way
Hertshooistraat,wikidata,,Q156935,way
"Het Bildt",wikidata,,Q850722,way
"Het Palet",wikidata,,Q425548,way
"Het Sticht",wikidata,,Q707767,way
"Hof van Berlijn",wikidata,,Q64,way
"Hof van Parijs",wikidata,,Q90,way
Hortensiastraat,wikidata,,Q155997,way
Hulsthage,wikidata,,Q192190,way
Hunebedstraat,wikidata,,Q101659,way
Hunsingostraat,wikidata,,Q499390,way
IJselstraat,wikidata,,Q217818,way
Iepenlaan,wikidata,,Q131113,way
Industrieweg,wikidata,,Q8148,way
Italiëlaan,wikidata,,Q38,way
Javastraat,wikidata,,Q3757,way
Juniperusplantsoen,wikidata,,Q25662,way
Kanaaldijk,wikidata,,Q1996464,way
Kastanjelaan,wikidata,,Q129324,way
Kennemerland,wikidata,,Q652480,way
Kerkplein,wikidata,,Q1869717,way
Kerkstraat,wikidata,,Q1869717,way
Kerspellaan,wikidata,,Q13358519,way
